,trial,function,noise,init_gamma,gamma,scorer,value,mi
287,1,line,0.0011352775264921833,0.5,0.04770477381749972,ctka,0.9999845306487551,5.180124931764317
288,1,line,0.0011352775264921833,0.5,0.039530216054538506,ctka,0.9999845059854134,5.180124931764317
289,1,line,0.0011352775264921833,0.5,0.03275642784297758,ctka,0.9999844853605527,5.180124931764317
290,1,line,0.0011352775264921833,0.5,0.027143377196619328,ctka,0.9999844681403918,5.180124931764317
291,1,line,0.0011352775264921833,0.5,0.022492163344847247,ctka,0.9999844537817855,5.180124931764317
292,1,line,0.0011352775264921833,0.5,0.01863796860157471,ctka,0.9999844418221624,5.180124931764317
293,1,line,0.0011352775264921833,0.5,0.01544421798238741,ctka,0.9999844318696034,5.180124931764317
294,1,line,0.0011352775264921833,0.5,0.012797739613497689,ctka,0.9999844235933845,5.180124931764317
295,1,line,0.0011352775264921833,0.5,0.010604754439600964,ctka,0.999984416715341,5.180124931764317
296,1,line,0.0011352775264921833,0.5,0.008787553124273964,ctka,0.9999844110020978,5.180124931764317
